t=2023-03-18T07:04:05+0000 lvl=info msg="no configuration paths supplied"
t=2023-03-18T07:04:05+0000 lvl=info msg="using configuration at default config path" path=/home/boss/.config/ngrok/ngrok.yml
t=2023-03-18T07:04:05+0000 lvl=info msg="open config file" path=/home/boss/.config/ngrok/ngrok.yml err=nil
t=2023-03-18T07:04:05+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2023-03-18T07:04:05+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2023-03-18T07:04:05+0000 lvl=info msg="client session established" obj=csess id=e90cba86e06c
t=2023-03-18T07:04:06+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://bde9-85-91-194-59.eu.ngrok.io
t=2023-03-18T07:04:06+0000 lvl=info msg="update available" obj=updater
t=2023-03-18T07:04:42+0000 lvl=info msg="join connections" obj=join id=856e638f9d85 l=127.0.0.1:8080 r=149.154.161.215:55862
t=2023-03-18T07:04:43+0000 lvl=info msg="join connections" obj=join id=e3cb6b453742 l=127.0.0.1:8080 r=149.154.161.198:60018
t=2023-03-18T07:05:06+0000 lvl=info msg="join connections" obj=join id=76e8539701f8 l=127.0.0.1:8080 r=85.91.194.59:45160
t=2023-03-18T07:05:08+0000 lvl=info msg="join connections" obj=join id=aac919b98f7a l=127.0.0.1:8080 r=85.91.194.59:45160
t=2023-03-18T07:07:09+0000 lvl=info msg="join connections" obj=join id=f1dd4a81c225 l=127.0.0.1:8080 r=140.82.115.59:57313
t=2023-03-18T07:09:09+0000 lvl=info msg="join connections" obj=join id=0ba371132950 l=127.0.0.1:8080 r=85.91.194.59:42132
t=2023-03-18T07:09:26+0000 lvl=info msg="join connections" obj=join id=5e2f26218f41 l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=fa3073401090 l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=782ff10a580d l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=3a4897ecdce6 l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=eed25bca0aa9 l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=e32a894af0bc l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=57cdf444328c l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=d4774699afc6 l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=18867e277054 l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=84ffbe24ac0f l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=0f2c22ba7fac l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=aa67684e68df l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=20ac56096611 l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=4522317b3811 l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=df4f65d536b5 l=127.0.0.1:8080 r=85.91.194.59:34202
t=2023-03-18T07:09:28+0000 lvl=info msg="join connections" obj=join id=821f6e2b608b l=127.0.0.1:8080 r=85.91.194.59:34202
